"parameter","units"
"anc","ueq/L"
"andef2","ueq/L"
"ansum2","ueq/L"
"balance2","%"
"calcium","mg/L"
"catsum","ueq/L"
"chla","ug/L"
"chloride","mg/L"
"color","PCU"
"concal2","uS/cm"
"cond","uS/cm"
"condho2","uS/cm"
"doc","mg/L"
"h","ueq/L"
"potassium","mg/L"
"magnesium","mg/L"
"ammonia_n","mg/L"
"nh4ion","ueq/L"
"nitrate_n","mg/L"
"nitrate_nitrite_n","mg/L"
"ntl","ug/L"
"ntl","mg/L"
"oh","ueq/L"
"orgion","ueq/L"
"ph_field","ph"
"ph","ph"
"ptl","ug/L"
"secchi","m"
"silica","mg/L"
"sulfate","mg/L"
"sobc","ueq/L"
"sodium","mg/L"
"toc","mg/L"
"turb","NTU"
"do2_2m","mg/l"
"cylindrospermopsin","ug/l"
"microcystin","ug/l"
"saxitoxin","ug/l"
